test_year,log_loss,roc_auc,brier_score,n_train,n_test
2010,0.09377720782955166,0.935483870967742,0.030080964788794518,160,32
2011,0.23348612056715534,0.7096774193548387,0.059221815317869186,192,32
2012,0.09061683323763417,1.0,0.02690492384135723,224,32
2013,0.0776998053517437,0.967741935483871,0.024612367153167725,256,32
2014,0.23546690961384326,0.5483870967741935,0.04827530309557915,288,32
2015,0.15172821784781979,0.8387096774193548,0.03519119694828987,320,32
2016,0.03790215118086788,1.0,0.009524681605398655,352,32
2017,0.14890357994466152,0.7741935483870968,0.031065335497260094,384,32
2018,0.12901858551823694,0.9032258064516129,0.036313530057668686,416,32
2019,0.11304528888622353,0.8709677419354839,0.031260255724191666,448,32
2020,0.14779219113409836,0.8064516129032258,0.03205888345837593,480,32
2021,0.15455196866388216,0.7096774193548386,0.034855566918849945,512,32
2022,0.10431365557081468,0.935483870967742,0.03278008848428726,544,32
2023,0.10221515737286475,0.9032258064516129,0.02896762080490589,576,32
